school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Wyngate ES,673,52.7,47.3,≤5.0,14.1,≤5.0,13.2,≤5.0,60.0,8.3,7.1,≤5.0,5.8,Elementary School,2020-2021,,
Argyle MS,1043,59.5,40.5,≤5.0,7.5,23.9,57.4,≤5.0,7.6,≤5.0,18.4,66.9,9.2,Middle School,2020-2021,,
John T. Baker MS,797,50.6,49.3,≤5.0,6.1,12.8,28.5,≤5.0,46.3,6.3,≤5.0,28.9,13.4,Middle School,2020-2021,,
Benjamin Banneker MS,864,54.7,45.3,≤5.0,9.3,65.4,20.3,≤5.0,≤5.0,≤5.0,6.8,57.1,15.9,Middle School,2020-2021,,
Briggs Chaney MS,978,52.1,47.9,≤5.0,10.4,53.3,25.3,≤5.0,6.5,≤5.0,7.3,55.2,11.0,Middle School,2020-2021,,
Cabin John MS,1077,50.0,50.0,≤5.0,33.1,12.7,9.7,≤5.0,38.4,5.9,≤5.0,8.3,12.4,Middle School,2020-2021,,
Roberto W. Clemente MS,1040,55.0,44.8,≤5.0,19.5,29.2,34.5,≤5.0,11.5,≤5.0,11.6,45.9,13.8,Middle School,2020-2021,,
Eastern MS,966,50.8,49.0,≤5.0,7.1,19.2,49.5,≤5.0,20.4,≤5.0,21.9,58.9,11.4,Middle School,2020-2021,,
William H. Farquhar MS,671,52.2,47.8,≤5.0,14.9,25.5,17.6,≤5.0,35.9,6.0,≤5.0,21.3,17.0,Middle School,2020-2021,,
Forest Oak MS,920,53.4,46.6,≤5.0,6.6,23.0,58.0,≤5.0,9.2,≤5.0,20.4,63.3,13.6,Middle School,2020-2021,,
Robert Frost MS,1017,49.8,50.2,≤5.0,39.2,10.3,8.0,≤5.0,36.9,5.3,≤5.0,8.2,5.9,Middle School,2020-2021,,
Gaithersburg MS,868,53.1,46.7,≤5.0,6.6,20.2,53.3,≤5.0,13.1,6.7,21.3,55.9,18.5,Middle School,2020-2021,,
Herbert Hoover MS,1021,53.5,46.5,≤5.0,39.1,7.9,7.4,≤5.0,39.2,6.2,≤5.0,6.2,8.8,Middle School,2020-2021,,
Francis Scott Key MS,966,50.8,49.2,≤5.0,8.4,41.8,44.8,≤5.0,≤5.0,≤5.0,13.6,70.8,7.7,Middle School,2020-2021,,
"Dr. Martin Luther King, Jr. MS",888,47.3,52.7,≤5.0,13.5,35.9,31.9,≤5.0,13.0,5.6,8.1,49.1,12.2,Middle School,2020-2021,,
Kingsview MS,1048,50.0,50.0,≤5.0,26.3,26.7,17.8,≤5.0,22.1,6.4,6.0,27.7,8.0,Middle School,2020-2021,,
Lakelands Park MS,1182,51.4,48.6,≤5.0,17.8,15.3,25.5,≤5.0,34.6,6.8,9.2,27.8,12.4,Middle School,2020-2021,,
Col. E. Brooke Lee MS,795,52.8,47.2,≤5.0,5.5,25.3,61.9,≤5.0,5.2,≤5.0,22.4,71.3,12.6,Middle School,2020-2021,,
A. Mario Loiederman MS,996,35.0,65.0,≤5.0,≤5.0,15.1,62.4,≤5.0,15.0,≤5.0,21.9,63.9,11.3,Middle School,2020-2021,,
Montgomery Village MS,776,53.7,46.3,≤5.0,7.2,28.4,56.4,≤5.0,5.2,≤5.0,19.3,73.7,17.0,Middle School,2020-2021,,
Neelsville MS,842,51.7,48.3,≤5.0,11.6,27.9,49.9,≤5.0,6.4,≤5.0,21.7,65.9,8.8,Middle School,2020-2021,,
Newport Mill MS,670,55.5,44.5,≤5.0,7.9,13.3,59.9,≤5.0,14.2,≤5.0,23.0,63.0,19.7,Middle School,2020-2021,,
North Bethesda MS,1198,52.2,47.8,≤5.0,12.5,10.5,13.5,≤5.0,54.2,8.9,≤5.0,9.7,8.2,Middle School,2020-2021,,
Parkland MS,1158,54.3,45.6,≤5.0,13.0,23.5,52.2,≤5.0,8.6,≤5.0,15.9,60.1,8.9,Middle School,2020-2021,,
Rosa M. Parks MS,864,49.5,50.5,≤5.0,9.8,15.6,14.0,≤5.0,53.8,6.7,≤5.0,14.4,10.6,Middle School,2020-2021,,
John Poole MS,381,53.5,46.5,≤5.0,5.2,5.5,13.6,≤5.0,66.7,8.9,≤5.0,12.6,9.7,Middle School,2020-2021,,
Thomas W. Pyle MS,1433,51.9,48.1,≤5.0,14.9,≤5.0,10.4,≤5.0,65.0,6.8,≤5.0,≤5.0,7.7,Middle School,2020-2021,,
Redland MS,646,50.0,50.0,≤5.0,9.8,22.0,43.5,≤5.0,19.5,≤5.0,15.2,48.0,12.2,Middle School,2020-2021,,
Ridgeview MS,792,49.7,50.3,≤5.0,11.2,14.6,33.0,≤5.0,36.4,≤5.0,10.2,35.7,9.8,Middle School,2020-2021,,
Rocky Hill MS,986,50.7,49.3,≤5.0,21.9,28.0,28.9,≤5.0,15.6,5.2,8.8,39.8,12.4,Middle School,2020-2021,,
Shady Grove MS,578,50.5,49.5,≤5.0,11.4,22.5,41.7,≤5.0,19.9,≤5.0,14.5,51.4,14.5,Middle School,2020-2021,,
Silver Creek MS,838,50.8,49.2,≤5.0,6.3,22.8,18.4,≤5.0,47.1,5.4,8.7,26.5,7.8,Middle School,2020-2021,,
Silver Spring International MS,1160,49.3,50.7,≤5.0,≤5.0,22.4,43.1,≤5.0,25.8,≤5.0,15.0,44.1,11.8,Middle School,2020-2021,,
Sligo MS,738,51.4,48.6,≤5.0,6.9,21.0,42.0,≤5.0,26.0,≤5.0,17.5,49.1,13.3,Middle School,2020-2021,,
Takoma Park MS,1158,52.4,47.6,≤5.0,13.9,34.0,16.3,≤5.0,29.8,5.8,6.3,29.9,7.3,Middle School,2020-2021,,
Tilden MS,1022,51.8,48.2,≤5.0,16.9,13.8,22.2,≤5.0,41.4,5.4,9.8,16.9,12.7,Middle School,2020-2021,,
Hallie Wells MS,930,52.9,47.1,≤5.0,37.1,21.6,14.2,≤5.0,20.6,6.3,≤5.0,17.3,9.4,Middle School,2020-2021,,
Julius West MS,1375,52.0,48.0,≤5.0,17.2,16.1,28.4,≤5.0,32.1,5.6,9.5,32.1,10.3,Middle School,2020-2021,,
Westland MS,764,49.0,51.0,≤5.0,8.2,7.9,18.3,≤5.0,56.8,8.1,5.8,9.8,12.3,Middle School,2020-2021,,
White Oak MS,860,50.7,49.3,≤5.0,9.7,29.7,53.7,≤5.0,≤5.0,≤5.0,19.7,71.5,10.0,Middle School,2020-2021,,
Earle B. Wood MS,998,52.9,47.1,≤5.0,11.2,13.0,44.5,≤5.0,25.4,5.6,13.0,45.5,16.2,Middle School,2020-2021,,
Bethesda-Chevy Chase HS,2270,50.9,49.1,≤5.0,6.1,14.7,17.6,≤5.0,55.6,5.7,5.9,15.6,7.4,High School,2020-2021,,
Montgomery Blair HS,3220,53.4,46.5,≤5.0,12.9,24.0,34.3,≤5.0,24.2,≤5.0,16.1,39.6,8.3,High School,2020-2021,,
James Hubert Blake HS,1815,46.8,53.2,≤5.0,9.9,41.4,29.8,≤5.0,15.3,≤5.0,≤5.0,43.0,9.9,High School,2020-2021,,
Winston Churchill HS,2245,53.1,46.9,≤5.0,30.6,10.1,7.9,≤5.0,45.3,5.9,≤5.0,5.1,12.6,High School,2020-2021,,
Clarksburg HS,2365,50.1,49.9,≤5.0,23.6,29.7,24.7,≤5.0,17.0,≤5.0,5.8,32.2,8.8,High School,2020-2021,,
Damascus HS,1404,49.0,51.0,≤5.0,10.6,13.0,26.3,≤5.0,44.7,5.1,≤5.0,20.4,15.2,High School,2020-2021,,
Thomas Edison HS of Technology,840,64.4,35.6,≤5.0,≤5.0,19.6,58.1,≤5.0,14.8,≤5.0,19.0,54.4,24.0,High School,2020-2021,,
Albert Einstein HS,1921,48.9,51.1,≤5.0,6.1,17.5,47.7,≤5.0,24.0,≤5.0,15.6,45.0,12.7,High School,2020-2021,,
Gaithersburg HS,2359,52.6,47.2,≤5.0,6.4,21.1,57.9,≤5.0,11.6,≤5.0,23.3,55.9,14.7,High School,2020-2021,,
Walter Johnson HS,2820,52.0,47.8,≤5.0,13.7,11.4,16.9,≤5.0,51.7,5.8,≤5.0,10.6,10.7,High School,2020-2021,,
John F. Kennedy HS,1788,47.5,52.5,≤5.0,6.5,23.3,63.6,≤5.0,5.2,≤5.0,23.2,61.7,16.8,High School,2020-2021,,
Col. Zadok Magruder HS,1606,51.1,48.9,≤5.0,13.3,17.7,40.5,≤5.0,23.7,≤5.0,10.8,40.6,13.2,High School,2020-2021,,
Richard Montgomery HS,2410,49.5,50.5,≤5.0,24.3,16.6,23.9,≤5.0,29.0,5.9,7.4,25.0,7.7,High School,2020-2021,,
Northwest HS,2598,50.2,49.8,≤5.0,21.2,25.9,22.6,≤5.0,25.2,≤5.0,≤5.0,27.3,8.8,High School,2020-2021,,
Northwood HS,1708,47.7,52.3,≤5.0,≤5.0,25.6,52.6,≤5.0,13.3,≤5.0,18.3,56.0,11.3,High School,2020-2021,,
Paint Branch HS,2064,49.4,50.6,≤5.0,12.5,59.0,21.9,≤5.0,≤5.0,≤5.0,≤5.0,47.9,11.0,High School,2020-2021,,
Poolesville HS,1236,49.8,50.2,≤5.0,34.9,5.9,9.1,≤5.0,44.6,5.3,≤5.0,8.3,6.2,High School,2020-2021,,
Quince Orchard HS,2091,52.0,48.0,≤5.0,11.7,16.8,29.5,≤5.0,37.7,≤5.0,9.2,31.0,10.3,High School,2020-2021,,
Rockville HS,1436,55.1,44.9,≤5.0,11.2,14.7,41.6,≤5.0,28.2,≤5.0,10.4,37.0,19.5,High School,2020-2021,,
Seneca Valley HS,1652,50.8,49.1,≤5.0,10.2,37.3,34.4,≤5.0,12.9,≤5.0,10.0,46.4,14.4,High School,2020-2021,,
Sherwood HS,1912,52.6,47.3,≤5.0,11.8,15.2,19.0,≤5.0,49.1,≤5.0,9.6,18.3,9.7,High School,2020-2021,,
Springbrook HS,1694,58.9,41.1,≤5.0,12.9,39.0,39.3,≤5.0,6.1,≤5.0,17.2,56.2,8.1,High School,2020-2021,,
Watkins Mill HS,1597,54.2,45.8,≤5.0,9.6,26.2,54.9,≤5.0,6.4,≤5.0,23.4,62.0,13.3,High School,2020-2021,,
Wheaton HS,2280,59.0,41.0,≤5.0,11.8,20.2,55.9,≤5.0,9.5,≤5.0,17.2,55.5,8.5,High School,2020-2021,,
Walt Whitman HS,1991,52.2,47.7,≤5.0,14.0,≤5.0,10.3,≤5.0,64.5,6.9,≤5.0,≤5.0,9.4,High School,2020-2021,,
Thomas S. Wootton HS,2037,49.8,50.1,≤5.0,36.5,10.4,8.3,≤5.0,40.1,≤5.0,≤5.0,7.2,7.0,High School,2020-2021,,
Arcola ES,631,51.2,48.8,≤5.0,6.0,18.7,69.3,≤5.0,≤5.0,≤5.0,,77.0,7.9,Elementary School,2021-2022,≤5.0,49.0
Ashburton ES,834,48.7,51.3,≤5.0,18.3,16.2,18.0,≤5.0,37.6,9.5,,12.4,9.5,Elementary School,2021-2022,≤5.0,15.9
Bannockburn ES,421,48.7,51.3,≤5.0,14.5,6.2,11.4,≤5.0,60.1,7.8,,≤5.0,8.8,Elementary School,2021-2022,≤5.0,≤5.0
Lucy V. Barnsley ES,689,53.6,46.4,≤5.0,11.2,13.6,35.7,≤5.0,30.8,7.8,,34.4,12.6,Elementary School,2021-2022,≤5.0,18.3
Beall ES,497,52.1,47.9,≤5.0,16.7,12.5,23.5,≤5.0,39.6,7.6,,27.6,11.9,Elementary School,2021-2022,≤5.0,11.1
Bel Pre ES,542,51.8,48.2,≤5.0,≤5.0,26.4,58.9,≤5.0,6.8,≤5.0,,69.2,8.3,Elementary School,2021-2022,≤5.0,40.8
Bells Mill ES,579,53.9,46.1,≤5.0,26.3,14.7,10.7,≤5.0,40.8,7.4,,13.5,8.5,Elementary School,2021-2022,≤5.0,11.4
Belmont ES,338,48.2,51.8,≤5.0,7.4,11.8,12.4,≤5.0,61.5,6.5,,9.8,11.2,Elementary School,2021-2022,≤5.0,5.6
Bethesda ES,640,50.3,49.7,≤5.0,19.4,12.3,16.4,≤5.0,43.8,8.0,,15.9,10.2,Elementary School,2021-2022,≤5.0,19.7
Beverly Farms ES,545,50.3,49.7,≤5.0,31.6,7.0,7.5,≤5.0,44.4,9.0,,6.6,7.7,Elementary School,2021-2022,≤5.0,11.6
Bradley Hills ES,479,53.9,46.1,≤5.0,15.2,≤5.0,8.4,≤5.0,62.6,11.1,,≤5.0,5.8,Elementary School,2021-2022,≤5.0,5.4
Brooke Grove ES,442,54.5,45.5,≤5.0,12.0,27.6,18.8,≤5.0,34.8,6.6,,24.7,26.0,Elementary School,2021-2022,≤5.0,13.6
Brookhaven ES,422,49.5,50.5,≤5.0,8.1,27.3,52.8,≤5.0,7.1,≤5.0,,66.8,19.4,Elementary School,2021-2022,≤5.0,32.5
Brown Station ES,604,51.8,48.2,≤5.0,10.9,18.9,59.1,≤5.0,7.3,≤5.0,,64.9,14.4,Elementary School,2021-2022,≤5.0,38.2
Burning Tree ES,405,52.8,47.2,≤5.0,22.7,8.4,9.1,≤5.0,51.1,8.4,,7.2,22.2,Elementary School,2021-2022,≤5.0,13.1
Burnt Mills ES,596,50.0,50.0,≤5.0,6.9,54.5,25.8,≤5.0,7.4,5.2,,69.0,9.2,Elementary School,2021-2022,≤5.0,17.8
Burtonsville ES,603,51.6,48.4,≤5.0,11.1,63.2,18.7,≤5.0,≤5.0,≤5.0,,47.9,6.5,Elementary School,2021-2022,≤5.0,14.9
Candlewood ES,366,56.0,44.0,≤5.0,16.7,14.2,18.6,≤5.0,41.3,9.0,,23.5,10.4,Elementary School,2021-2022,≤5.0,19.9
Cannon Road ES,391,55.2,44.8,≤5.0,10.7,34.3,46.3,≤5.0,≤5.0,≤5.0,,62.7,24.3,Elementary School,2021-2022,≤5.0,16.9
Carderock Springs ES,321,54.8,45.2,≤5.0,17.4,7.2,14.3,≤5.0,51.4,9.3,,≤5.0,11.8,Elementary School,2021-2022,≤5.0,7.5
Rachel Carson ES,682,55.1,44.9,≤5.0,18.8,8.1,20.5,≤5.0,45.7,6.7,,21.4,8.8,Elementary School,2021-2022,≤5.0,16.0
Cashell ES,321,52.0,48.0,≤5.0,5.9,15.3,24.6,≤5.0,41.7,12.5,,25.9,17.8,Elementary School,2021-2022,≤5.0,9.3
Cedar Grove ES,382,48.4,51.6,≤5.0,41.6,16.5,12.3,≤5.0,23.3,6.0,,12.6,15.7,Elementary School,2021-2022,≤5.0,11.5
Chevy Chase ES,456,50.9,49.1,≤5.0,10.7,22.4,9.4,≤5.0,51.3,6.1,,22.1,5.9,Elementary School,2021-2022,≤5.0,9.2
Clarksburg ES,771,55.0,45.0,≤5.0,37.0,30.0,14.9,≤5.0,11.2,6.5,,21.8,9.7,Elementary School,2021-2022,≤5.0,19.3
Clearspring ES,558,49.8,50.2,≤5.0,14.7,19.2,24.6,≤5.0,34.8,6.3,,36.7,15.2,Elementary School,2021-2022,≤5.0,9.1
Clopper Mill ES,440,51.4,48.6,≤5.0,9.5,32.7,47.0,≤5.0,5.9,≤5.0,,63.2,15.7,Elementary School,2021-2022,≤5.0,26.1
Cloverly ES,445,54.4,45.6,≤5.0,14.8,25.2,28.8,≤5.0,25.4,5.4,,27.4,22.7,Elementary School,2021-2022,≤5.0,18.4
Cold Spring ES,326,57.4,42.6,≤5.0,39.9,≤5.0,5.5,≤5.0,42.0,8.3,,≤5.0,5.2,Elementary School,2021-2022,≤5.0,≤5.0
College Gardens ES,518,48.5,51.5,≤5.0,20.8,24.1,20.1,≤5.0,27.4,7.1,,26.4,12.4,Elementary School,2021-2022,≤5.0,13.7
Cresthaven ES,465,56.1,43.9,≤5.0,8.6,37.8,48.8,≤5.0,≤5.0,≤5.0,,79.6,14.6,Elementary School,2021-2022,≤5.0,50.1
Capt. James E. Daly ES,521,53.6,46.4,≤5.0,5.4,29.8,56.8,≤5.0,5.2,≤5.0,,75.8,8.6,Elementary School,2021-2022,≤5.0,45.5
Damascus ES,361,51.8,48.2,≤5.0,5.3,8.0,43.5,≤5.0,37.1,5.5,,31.9,22.7,Elementary School,2021-2022,≤5.0,22.4
Darnestown ES,314,53.5,46.5,≤5.0,11.5,8.6,9.9,≤5.0,62.1,7.6,,10.2,19.7,Elementary School,2021-2022,≤5.0,8.3
Diamond ES,732,55.7,44.3,≤5.0,51.9,9.2,10.1,≤5.0,23.0,5.3,,8.2,13.8,Elementary School,2021-2022,≤5.0,23.0
Dr. Charles R. Drew ES,465,50.8,49.2,≤5.0,10.1,46.0,30.1,≤5.0,9.9,≤5.0,,54.8,13.3,Elementary School,2021-2022,≤5.0,18.7
DuFief ES,261,53.6,46.4,≤5.0,33.3,16.5,12.3,≤5.0,28.4,9.2,,14.2,33.3,Elementary School,2021-2022,≤5.0,20.3
East Silver Spring ES,485,50.3,49.5,≤5.0,≤5.0,55.7,16.9,≤5.0,19.4,≤5.0,,53.6,13.0,Elementary School,2021-2022,≤5.0,21.9
Fairland ES,533,52.0,48.0,≤5.0,≤5.0,60.0,26.5,≤5.0,≤5.0,≤5.0,,66.6,13.9,Elementary School,2021-2022,≤5.0,17.6
Fallsmead ES,525,50.5,49.5,≤5.0,34.3,12.2,10.7,≤5.0,36.8,5.3,,9.5,8.8,Elementary School,2021-2022,≤5.0,11.6
Farmland ES,793,52.7,47.3,≤5.0,29.3,10.5,11.7,≤5.0,44.1,≤5.0,,13.5,11.1,Elementary School,2021-2022,≤5.0,29.1
Fields Road ES,461,53.1,46.9,≤5.0,16.3,17.8,36.2,≤5.0,24.1,5.4,,42.5,15.4,Elementary School,2021-2022,≤5.0,24.3
Flower Hill ES,427,53.6,46.4,≤5.0,11.5,26.7,50.4,≤5.0,6.3,≤5.0,,62.8,12.4,Elementary School,2021-2022,≤5.0,39.1
Flower Valley ES,501,54.3,45.7,≤5.0,8.6,17.0,26.9,≤5.0,39.1,8.0,,25.3,11.8,Elementary School,2021-2022,≤5.0,16.4
Forest Knolls ES,483,49.5,50.5,≤5.0,5.2,15.3,40.6,≤5.0,30.6,7.9,,33.3,14.1,Elementary School,2021-2022,≤5.0,15.7
Fox Chapel ES,573,50.1,49.9,≤5.0,15.7,23.4,45.9,≤5.0,10.1,≤5.0,,55.5,10.6,Elementary School,2021-2022,≤5.0,34.2
Gaithersburg ES,774,51.0,49.0,≤5.0,≤5.0,13.8,78.0,≤5.0,≤5.0,≤5.0,,84.5,11.1,Elementary School,2021-2022,≤5.0,52.5
Galway ES,696,52.6,47.4,≤5.0,8.6,58.0,27.7,≤5.0,≤5.0,≤5.0,,65.5,12.9,Elementary School,2021-2022,≤5.0,31.6
Garrett Park ES,670,52.5,47.5,≤5.0,14.8,12.7,23.7,≤5.0,39.4,9.0,,18.8,7.9,Elementary School,2021-2022,≤5.0,24.3
Georgian Forest ES,554,53.2,46.8,≤5.0,≤5.0,25.6,65.2,≤5.0,≤5.0,≤5.0,,74.5,7.4,Elementary School,2021-2022,≤5.0,42.2
Germantown ES,289,55.0,45.0,≤5.0,16.3,35.3,26.3,≤5.0,16.3,≤5.0,,41.9,24.2,Elementary School,2021-2022,≤5.0,14.5
"William B. Gibbs, Jr. ES",516,55.8,44.2,≤5.0,27.1,32.6,19.6,≤5.0,15.9,≤5.0,,32.4,16.3,Elementary School,2021-2022,≤5.0,17.4
Glen Haven ES,502,46.4,53.6,≤5.0,5.4,25.5,49.0,≤5.0,14.5,≤5.0,,53.2,15.1,Elementary School,2021-2022,≤5.0,31.9
Glenallan ES,690,51.9,48.1,≤5.0,10.7,30.4,43.6,≤5.0,10.7,≤5.0,,55.7,12.5,Elementary School,2021-2022,≤5.0,24.8
Goshen ES,517,49.7,50.1,≤5.0,11.4,23.6,47.2,≤5.0,14.3,≤5.0,,50.1,13.7,Elementary School,2021-2022,≤5.0,30.8
Great Seneca Creek ES,521,51.8,48.2,≤5.0,13.2,32.6,29.8,≤5.0,17.7,6.1,,44.1,10.9,Elementary School,2021-2022,≤5.0,25.3
Greencastle ES,697,51.4,48.6,≤5.0,7.3,65.9,21.7,≤5.0,≤5.0,≤5.0,,68.7,17.4,Elementary School,2021-2022,≤5.0,16.6
Greenwood ES,546,51.6,48.4,≤5.0,6.4,10.4,14.8,≤5.0,60.6,7.5,,9.0,9.3,Elementary School,2021-2022,≤5.0,≤5.0
Harmony Hills ES,683,49.9,50.1,≤5.0,≤5.0,12.0,82.0,≤5.0,≤5.0,≤5.0,,80.5,6.7,Elementary School,2021-2022,≤5.0,54.2
Highland ES,521,50.7,49.3,≤5.0,6.3,9.2,76.2,≤5.0,6.5,≤5.0,,74.3,11.3,Elementary School,2021-2022,≤5.0,45.5
Highland View ES,371,50.1,49.9,≤5.0,≤5.0,27.2,30.5,≤5.0,35.0,≤5.0,,40.2,7.8,Elementary School,2021-2022,≤5.0,27.8
Jackson Road ES,660,53.0,47.0,≤5.0,5.8,50.2,37.1,≤5.0,≤5.0,≤5.0,,76.5,13.2,Elementary School,2021-2022,≤5.0,33.6
Jones Lane ES,425,48.5,51.5,≤5.0,10.1,8.0,34.6,≤5.0,39.5,7.5,,30.8,5.2,Elementary School,2021-2022,≤5.0,24.2
Kemp Mill ES,417,49.6,50.4,≤5.0,≤5.0,11.3,83.5,≤5.0,≤5.0,≤5.0,,85.4,5.5,Elementary School,2021-2022,≤5.0,58.8
Kensington Parkwood ES,597,50.3,49.7,≤5.0,10.4,8.5,16.8,≤5.0,55.8,8.4,,13.2,10.2,Elementary School,2021-2022,≤5.0,9.5
Lake Seneca ES,485,54.8,45.2,≤5.0,5.8,37.7,40.8,≤5.0,10.3,5.2,,64.5,19.2,Elementary School,2021-2022,≤5.0,25.6
Lakewood ES,412,52.7,47.3,≤5.0,50.0,13.6,12.1,≤5.0,18.4,5.3,,13.3,15.3,Elementary School,2021-2022,≤5.0,12.1
Laytonsville ES,347,50.1,49.9,≤5.0,9.2,19.0,30.5,≤5.0,32.0,8.9,,28.2,15.9,Elementary School,2021-2022,≤5.0,13.3
JoAnn Leleck ES,799,52.7,47.3,≤5.0,≤5.0,9.3,87.6,≤5.0,≤5.0,≤5.0,,87.2,5.1,Elementary School,2021-2022,≤5.0,71.5
Little Bennett ES,642,52.5,47.5,≤5.0,27.7,26.8,18.4,≤5.0,20.4,5.9,,23.8,20.1,Elementary School,2021-2022,≤5.0,15.4
Luxmanor ES,670,56.1,43.9,≤5.0,23.4,14.3,22.7,≤5.0,30.9,8.5,,21.6,16.3,Elementary School,2021-2022,≤5.0,27.2
Thurgood Marshall ES,556,51.3,48.7,≤5.0,14.0,20.3,29.9,≤5.0,31.5,≤5.0,,40.5,16.2,Elementary School,2021-2022,≤5.0,17.4
Maryvale ES,609,47.0,53.0,≤5.0,9.9,25.3,36.3,≤5.0,20.7,7.7,,45.5,12.2,Elementary School,2021-2022,≤5.0,23.2
Spark M. Matsunaga ES,584,52.2,47.8,≤5.0,41.4,23.6,14.4,≤5.0,14.9,5.5,,24.1,11.1,Elementary School,2021-2022,≤5.0,12.7
S. Christa McAuliffe ES,517,53.0,47.0,≤5.0,7.2,36.2,38.7,≤5.0,11.2,6.4,,59.2,13.0,Elementary School,2021-2022,≤5.0,29.4
Ronald McNair ES,773,55.5,44.5,≤5.0,28.2,29.2,18.0,≤5.0,18.0,6.3,,27.9,9.6,Elementary School,2021-2022,≤5.0,16.0
Meadow Hall ES,385,53.5,46.5,≤5.0,7.0,11.4,56.6,≤5.0,19.0,6.0,,55.8,17.7,Elementary School,2021-2022,≤5.0,33.0
Mill Creek Towne ES,463,54.2,45.8,≤5.0,15.8,18.4,41.7,≤5.0,15.8,7.8,,47.9,17.1,Elementary School,2021-2022,≤5.0,28.3
Monocacy ES,154,53.2,46.8,≤5.0,5.2,≤5.0,10.4,≤5.0,76.0,5.2,,18.2,13.0,Elementary School,2021-2022,≤5.0,7.1
Montgomery Knolls ES,519,49.1,50.9,≤5.0,≤5.0,23.5,46.8,≤5.0,20.8,≤5.0,,48.6,13.9,Elementary School,2021-2022,≤5.0,33.1
New Hampshire Estates,427,51.1,48.9,≤5.0,≤5.0,17.8,74.9,≤5.0,≤5.0,≤5.0,,89.0,9.8,Elementary School,2021-2022,≤5.0,55.0
Roscoe R. Nix ES,470,50.9,49.1,≤5.0,≤5.0,36.6,53.4,≤5.0,≤5.0,≤5.0,,73.4,11.3,Elementary School,2021-2022,≤5.0,43.0
North Chevy Chase ES,222,53.6,46.4,≤5.0,8.1,22.5,13.1,≤5.0,48.2,8.1,,25.7,12.2,Elementary School,2021-2022,≤5.0,11.7
Oak View ES,399,49.6,50.4,≤5.0,≤5.0,13.8,62.7,≤5.0,16.3,≤5.0,,70.9,10.5,Elementary School,2021-2022,≤5.0,49.4
Oakland Terrace ES,493,52.1,47.9,≤5.0,≤5.0,17.2,34.5,≤5.0,35.1,8.1,,28.6,16.8,Elementary School,2021-2022,≤5.0,14.2
Olney ES,610,53.3,46.7,≤5.0,13.3,13.3,16.6,≤5.0,50.7,5.7,,16.9,11.3,Elementary School,2021-2022,≤5.0,12.8
William Tyler Page ES,619,48.3,51.5,≤5.0,9.9,42.2,28.8,≤5.0,13.6,5.2,,38.6,6.6,Elementary School,2021-2022,≤5.0,10.2
Pine Crest ES,463,49.7,50.3,≤5.0,6.9,24.0,38.7,≤5.0,25.1,5.4,,51.6,11.7,Elementary School,2021-2022,≤5.0,29.4
Piney Branch ES,610,53.4,46.6,≤5.0,≤5.0,30.7,18.7,≤5.0,39.8,7.2,,33.8,11.3,Elementary School,2021-2022,≤5.0,21.0
Poolesville ES,538,50.4,49.6,≤5.0,8.4,7.6,14.9,≤5.0,61.7,7.4,,15.2,10.0,Elementary School,2021-2022,≤5.0,5.4
Potomac ES,402,50.7,49.3,≤5.0,29.6,8.5,9.7,≤5.0,40.3,11.9,,≤5.0,≤5.0,Elementary School,2021-2022,≤5.0,6.5
Judith A. Resnik ES,559,49.9,49.9,≤5.0,11.3,28.8,41.5,≤5.0,14.0,≤5.0,,57.8,11.6,Elementary School,2021-2022,≤5.0,26.1
Dr. Sally K. Ride ES,472,56.4,43.6,≤5.0,11.4,33.7,38.6,≤5.0,10.8,5.3,,56.1,25.6,Elementary School,2021-2022,≤5.0,23.7
Ritchie Park ES,382,45.0,55.0,≤5.0,16.8,14.9,13.4,≤5.0,49.5,≤5.0,,11.8,8.1,Elementary School,2021-2022,≤5.0,5.8
Rock Creek Forest ES,691,49.8,50.2,≤5.0,6.5,22.4,35.2,≤5.0,30.8,≤5.0,,30.1,12.0,Elementary School,2021-2022,≤5.0,17.8
Rock Creek Valley ES,375,54.9,45.1,≤5.0,13.1,8.5,40.3,≤5.0,32.0,6.1,,27.5,22.9,Elementary School,2021-2022,≤5.0,23.7
Rock View ES,612,55.2,44.8,≤5.0,10.3,11.4,50.0,≤5.0,23.2,≤5.0,,47.9,25.2,Elementary School,2021-2022,≤5.0,30.7
Lois P. Rockwell ES,481,54.3,45.7,≤5.0,10.0,15.4,29.7,≤5.0,38.0,6.0,,27.0,20.0,Elementary School,2021-2022,≤5.0,14.6
Rolling Terrace ES,718,50.8,49.2,≤5.0,≤5.0,16.4,74.7,≤5.0,5.4,≤5.0,,83.3,8.2,Elementary School,2021-2022,≤5.0,57.2
Rosemary Hills ES,541,53.0,47.0,≤5.0,5.5,31.8,17.7,≤5.0,39.9,≤5.0,,32.5,14.8,Elementary School,2021-2022,≤5.0,14.4
Rosemont ES,595,52.4,47.6,≤5.0,7.9,33.3,43.7,≤5.0,9.1,≤5.0,,61.8,11.1,Elementary School,2021-2022,≤5.0,33.3
Bayard Rustin ES,729,50.8,49.2,≤5.0,23.6,11.5,29.2,≤5.0,25.4,9.9,,35.3,12.6,Elementary School,2021-2022,≤5.0,24.7
Sequoyah ES,353,48.4,51.6,≤5.0,11.0,13.3,41.6,≤5.0,26.9,7.1,,43.3,14.2,Elementary School,2021-2022,≤5.0,31.4
